"Teams","Points","1","2","A","3","4","5","6","7","8","9","10","11","12"
"TwinPeaks","7","1","","","1","1","1","","","1","","1","1",""
"12.5 Degrees","7","1","","","1","1","","","","1","1","","1","1"
"Rockstars","4","","","","","1","","","","","","1","1","1"
"Romantiki","7","","","","1","1","","1","1","","1","1","1",""
"Belarus","4","","1","","","","","1","1","1","","","",""
"Poluostrov","8","1","1","","","1","","","","1","1","1","1","1"
"South Bay","9","1","","","","1","","1","1","1","1","1","1","1"
"ГосДеп","5","1","","","","","1","","","1","","1","","1"
"Hikers","7","1","1","","","","1","1","1","","","1","1",""
"Бузина","9","1","1","","","","1","","1","1","1","1","1","1"
"Livejournal","10","1","1","1","","1","","1","1","1","1","1","","1"
"Musketeers","5","","","","","1","","","1","","","1","1","1"
"Чекисты","2","","","","","","","","","1","","","1",""
"Astral Cats","8","1","1","","","1","","","","1","1","1","1","1"
"Moishe House","2","","","","","","","","","1","","1","",""
