"Teams","Points","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"12.5 Degrees","4","","","1","1","1","","","","","1","","","","","",""
"Astral Cats","2","","","","1","","","","","","","1","","","","",""
"Berkeley","3","","","1","","1","","","","1","","","","","","",""
"Бузина","4","","","1","1","","","","","1","1","","","","","",""
"East Bay","3","","","1","","","1","1","","","","","","","","",""
"ГосДеп","2","","","","1","","1","","","","","","","","","",""
"Hikers","4","","1","","","","1","1","","","1","","","","","",""
"Livejournal","3","","","1","","","1","","","","1","","","","","",""
"Musketeers","3","","","1","1","","","","","1","","","","","","",""
"Нормальные","5","","","1","1","1","","","","1","","","","","1","",""
"Poluostrov","6","","","1","","1","1","1","","","1","","","","","","1"
"Romantiki","5","","","1","1","1","1","","","1","","","","","","",""
"Russians","0","","","","","","","","","","","","","","","",""
"South Bay","4","","1","1","","","","1","","1","","","","","","",""
"Stanford","5","","","1","","1","1","","","1","1","","","","","",""
"TwinPeaks","4","","","1","","1","","","","1","1","","","","","",""
"Walnut Geek","2","","","1","","","","","","","","","","","1","",""
"Друзь","4","","","","","1","","1","","","1","","","","1","",""
"Сан-Франциско","6","","1","1","","1","1","","","1","","","","","","","1"
"Belarus","4","","","1","1","","1","","","1","","","","","","",""
