"Teams","Points","1","2","3","4","5","6","7","8","9","10","11","12"
"Strangers","4","","","1","","1","","","","1","","1",""
"East Bay","6","1","","1","1","","","","1","1","","1",""
"Stanford","7","1","","1","","1","","1","1","1","1","",""
"Peninsula","8","1","1","1","","1","","1","","1","1","1",""
"Musketeers","5","","","1","","1","","","1","","1","1",""
"South Bay","7","","1","","","","","1","1","1","1","1","1"
"Berkeley","5","","","1","","","","1","","1","1","1",""
"Belarus","6","1","","","","1","","1","1","1","","1",""
"Twin Peaks","7","","1","1","","1","","1","","","1","1","1"
"Subgroup","9","1","1","1","1","1","","1","1","","1","1",""
"RWB","5","","1","1","1","","","1","","","","1",""
"Hamsters","3","","","","1","","","1","","","1","",""
"SF House","5","","","1","","1","","1","1","","","1",""
"Trulia","5","","","1","1","1","","1","","","","1",""
"Fat Pandas","6","1","","1","","1","1","","","1","","1",""
"Gleemonex","7","1","","1","1","1","","1","","1","","1",""
"Drunken","6","","","1","","1","1","1","1","","","1",""
